Timestamps,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
32,5.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.17,9.68,11.0,158.51,11.77,216.81,305.69,98.78,5.06,828.41
33,5.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.17,9.68,8.25,149.6,9.35,224.07,302.06,103.4,5.06,822.58
34,5.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.17,9.68,8.25,137.72,4.62,229.02,294.91,107.91,5.06,808.28
35,7.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.17,9.68,8.25,128.81,0.0,233.97,287.76,112.42,7.59,797.06
36,10.12,0.0,0.0,2.53,0.0,0.0,0.0,0.0,16.17,9.68,8.25,116.93,0.0,238.92,277.09,119.02,12.65,786.06
37,37.95,4.18,0.0,2.53,0.0,0.0,0.0,0.0,16.17,9.68,5.5,105.16,0.0,243.87,262.13,123.42,44.66,765.93
38,203.5,29.59,3.52,2.53,0.0,0.0,0.0,0.0,13.86,9.68,5.5,90.53,0.0,243.87,250.91,127.82,239.14,742.17
39,343.09,64.35,23.32,0.0,0.0,0.0,0.0,0.0,13.86,9.68,5.5,70.18,0.0,241.34,232.32,132.22,430.76,705.1
40,386.32,87.89,43.12,0.0,0.0,0.0,0.0,0.0,13.86,8.03,0.0,46.86,0.0,233.97,214.61,136.62,517.33,653.95
41,389.51,95.7,55.77,0.0,0.0,0.0,0.0,0.0,13.86,8.03,0.0,28.05,0.0,211.97,201.52,138.82,540.98,602.25
42,374.0,98.89,60.94,26.29,6.27,0.0,12.87,0.0,11.55,8.03,0.0,23.43,0.0,148.72,188.54,138.82,579.26,519.09
43,377.08,105.16,69.74,35.42,6.27,6.16,38.61,0.0,11.55,8.03,0.0,21.01,0.0,91.19,175.45,138.82,638.44,446.05
44,377.08,116.16,75.02,45.98,7.92,46.42,61.6,8.8,9.24,8.03,0.0,16.39,0.0,59.62,155.54,127.82,738.98,376.64
45,386.32,128.81,80.19,55.22,9.46,76.34,69.08,22.0,6.93,8.03,0.0,13.97,0.0,38.94,128.7,110.22,827.42,306.79
46,395.34,136.62,85.47,66.0,9.46,99.88,72.82,30.8,4.62,6.38,0.0,11.66,0.0,25.19,84.92,80.63,896.39,213.4
47,410.08,144.54,92.51,73.81,11.11,117.37,80.3,35.2,0.0,6.38,0.0,9.35,0.0,16.06,45.32,49.94,964.92,127.05
48,421.85,150.81,99.44,81.73,11.11,131.67,84.04,39.6,0.0,4.84,0.0,9.35,0.0,13.75,35.2,34.54,1020.25,97.68
49,424.82,152.35,104.72,89.65,12.65,143.11,91.52,48.4,0.0,3.19,0.0,9.35,0.0,11.44,25.19,9.57,1067.22,58.74
50,421.85,150.81,110.0,97.57,12.65,157.41,102.74,52.8,0.0,0.0,5.5,6.93,0.0,6.82,17.6,5.72,1105.83,42.57
51,413.05,146.08,115.28,105.38,14.3,168.96,113.74,62.48,0.0,0.0,0.0,4.62,0.0,4.51,12.54,3.74,1139.27,25.41
52,404.14,142.89,116.93,113.52,15.84,177.54,127.82,73.04,0.0,0.0,5.5,4.62,0.0,0.0,10.01,0.0,1171.72,20.13
53,386.32,136.62,116.93,118.47,15.84,186.12,142.01,78.32,0.0,0.0,5.5,4.62,0.0,0.0,10.01,0.0,1180.63,20.13
54,358.49,128.81,113.52,125.18,17.38,194.7,152.68,88.99,0.0,0.0,5.5,0.0,0.0,0.0,7.48,0.0,1179.75,12.98
55,327.8,119.35,108.24,130.24,19.03,203.28,163.24,99.55,0.0,0.0,0.0,0.0,0.0,0.0,4.95,0.0,1170.73,4.95
56,293.04,108.35,101.2,135.19,19.03,209.0,174.02,104.83,0.0,0.0,5.5,0.0,0.0,0.0,4.95,0.0,1144.66,10.45
57,255.31,95.7,92.51,140.25,19.03,214.72,185.24,114.95,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,1117.71,5.5
58,217.69,83.16,81.95,143.55,20.57,220.55,192.72,119.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1079.98,0.0
59,183.7,70.62,71.5,146.96,20.57,226.05,203.94,124.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1047.97,0.0
60,151.8,58.08,60.94,148.61,20.57,228.91,211.42,129.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1009.8,0.0
61,122.1,47.96,52.14,148.61,20.57,234.52,218.9,134.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,979.11,0.0
62,97.35,39.49,43.12,146.96,19.03,237.27,225.94,139.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,948.31,0.0
63,74.91,31.02,35.97,141.9,19.03,237.27,232.76,143.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,916.85,0.0
64,58.96,25.41,28.71,136.84,17.38,240.13,239.58,148.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,895.84,0.0
65,50.6,19.69,21.56,131.89,15.84,245.63,242.99,153.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,881.87,0.0
66,45.54,15.51,16.17,125.18,14.3,248.49,242.99,158.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,866.69,0.0
67,37.95,11.22,10.78,118.47,12.65,251.24,246.4,163.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,852.06,0.0
68,27.83,8.47,8.91,108.57,11.11,254.1,246.4,168.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,833.58,0.0
69,25.3,7.04,7.15,99.11,9.46,259.71,246.4,173.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,827.64,0.0
70,22.77,7.04,7.15,88.11,7.92,262.46,242.99,184.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,822.69,0.0
71,22.77,7.04,5.39,78.54,6.27,268.07,239.58,189.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,817.3,0.0
72,22.77,7.04,5.39,70.73,4.73,273.68,232.76,195.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,812.13,0.0
73,22.77,5.61,5.39,66.0,3.08,282.15,229.35,200.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,814.77,0.0
74,22.77,5.61,3.52,61.27,3.08,287.87,222.64,211.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,817.96,0.0
75,20.24,5.61,3.52,56.54,0.0,296.45,218.9,221.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,823.24,0.0
76,20.24,5.61,3.52,53.9,0.0,305.03,211.42,226.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,826.43,0.0
77,20.24,5.61,3.52,48.62,0.0,316.47,203.94,236.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,834.68,0.0
78,20.24,5.61,3.52,44.66,0.0,325.05,200.2,245.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,845.13,0.0
79,20.24,5.61,3.52,38.06,0.0,336.05,200.2,255.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,858.99,0.0
80,20.24,5.61,3.52,32.78,0.0,344.08,196.46,264.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,867.57,0.0
81,20.24,5.61,3.52,27.61,0.0,349.36,185.24,274.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,866.03,0.0
82,20.24,5.61,3.52,21.01,0.0,352.11,185.24,283.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,871.64,0.0
83,20.24,5.61,3.52,14.41,0.0,352.11,185.24,288.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,869.66,0.0
84,17.71,5.61,3.52,13.09,0.0,333.41,185.24,293.15,13.86,3.19,0.0,0.0,0.0,0.0,0.0,0.0,851.73,17.05
85,17.71,5.61,0.0,11.77,0.0,296.45,185.24,297.77,61.27,14.52,0.0,0.0,0.0,0.0,0.0,0.0,814.55,75.79
86,17.71,5.61,3.52,11.77,0.0,254.1,185.24,297.77,277.86,76.23,41.25,0.0,0.0,0.0,0.0,0.0,775.72,395.34
87,15.18,5.61,0.0,10.45,0.0,206.14,181.5,288.53,348.7,117.48,87.01,37.51,4.62,0.0,0.0,0.0,707.41,595.32
88,15.18,4.18,3.52,9.13,0.0,166.1,170.39,269.72,382.14,134.2,127.49,67.32,14.08,0.0,7.48,0.0,638.22,732.71
89,12.65,4.18,0.0,9.13,3.08,128.81,149.05,255.31,382.14,134.2,147.95,78.98,21.12,22.88,47.85,0.0,562.21,835.12
90,7.59,4.18,0.0,9.13,3.08,99.88,131.45,241.01,370.04,132.44,161.48,87.67,23.54,41.25,67.98,3.74,496.32,888.14
91,5.06,4.18,0.0,9.13,4.73,67.43,87.78,195.03,366.96,136.07,179.85,99.33,28.16,59.62,81.51,7.59,373.34,959.09
92,0.0,2.75,0.0,9.13,4.73,43.34,54.67,119.79,376.09,139.81,200.53,108.02,35.31,73.15,95.04,13.42,234.41,1041.37
93,0.0,0.0,0.0,7.81,3.08,27.83,41.8,67.76,388.3,145.42,216.59,119.9,42.35,82.17,111.87,15.29,148.28,1121.89
94,0.0,0.0,0.0,5.17,0.0,15.4,25.74,30.8,388.3,149.16,225.39,128.81,47.08,88.99,125.29,19.14,77.11,1172.16
95,0.0,0.0,0.0,5.17,0.0,9.24,12.87,13.2,382.14,151.03,227.48,137.72,54.12,95.81,138.71,21.12,40.48,1208.13
96,0.0,0.0,0.0,3.85,0.0,6.16,9.57,8.8,370.04,149.16,225.39,149.6,58.85,102.52,148.83,22.99,28.38,1227.38
97,0.0,0.0,0.0,3.85,0.0,0.0,6.38,0.0,351.78,147.29,223.3,161.48,63.58,109.34,158.84,24.97,10.23,1240.58
98,0.0,0.0,0.0,2.53,0.0,0.0,0.0,0.0,333.63,145.42,218.9,170.17,68.2,114.07,168.96,26.84,2.53,1246.19
99,0.0,0.0,0.0,2.53,0.0,0.0,0.0,0.0,314.93,139.81,209.66,178.31,70.62,119.02,175.45,28.82,2.53,1236.62
