Timestamps,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
17,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,176.0,148.17,126.06,166.1,72.71,107.03,102.52,29.37,5.5,927.96
18,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,170.06,143.0,122.98,168.74,75.13,111.65,106.7,31.57,5.5,929.83
19,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,164.23,137.94,122.98,174.13,77.55,113.96,113.08,31.57,5.5,935.44
20,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,158.73,135.41,120.01,179.52,80.08,118.58,119.35,33.88,5.5,945.56
21,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,153.12,132.77,116.93,184.91,82.5,123.2,123.53,36.08,5.5,953.04
22,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,147.62,127.71,113.96,190.3,84.92,127.93,129.8,36.08,5.5,958.32
23,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,142.12,122.54,110.99,195.69,87.45,130.24,136.07,38.39,5.5,963.49
24,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,134.75,117.48,104.94,201.08,89.87,134.86,142.34,40.7,5.5,966.02
25,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,125.51,110.0,99.0,206.47,94.82,139.59,148.61,42.9,5.5,966.9
26,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,114.51,102.85,92.95,211.86,97.24,144.21,156.97,45.21,5.5,965.8
27,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,104.72,93.39,84.04,217.25,102.19,148.83,163.24,47.41,5.5,961.07
28,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,94.93,83.93,78.1,219.89,104.61,153.56,172.37,49.72,5.5,957.11
29,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,83.49,74.47,66.11,219.89,107.03,155.87,181.83,54.23,5.5,942.92
30,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,72.05,62.7,54.56,222.64,111.98,160.49,193.6,56.54,5.5,934.56
31,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,55.77,51.7,46.75,225.17,117.15,165.11,205.37,58.85,5.5,925.87
32,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,43.34,41.36,33.77,225.17,119.9,169.95,217.25,63.69,5.5,914.43
33,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,33.99,31.02,25.96,222.64,122.65,177.21,230.89,66.0,5.5,910.36
34,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,29.37,22.77,18.15,219.89,125.29,182.05,242.0,68.42,5.5,907.94
35,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,26.29,18.59,15.51,214.5,128.04,186.89,255.42,73.15,5.5,918.39
36,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,24.75,14.41,12.98,203.72,128.04,189.31,264.44,80.41,5.5,918.06
37,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,23.21,12.32,10.34,192.94,125.29,191.73,271.15,85.14,5.5,912.12
38,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,23.21,12.32,10.34,176.77,119.9,194.15,275.55,92.29,5.5,904.53
39,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,23.21,10.34,10.34,152.79,114.51,196.68,277.86,97.13,5.5,882.86
40,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,21.67,10.34,7.7,126.28,109.56,196.68,282.37,104.28,5.5,858.88
41,0.0,0.0,7.26,0.0,0.0,0.0,0.0,0.0,20.13,10.34,7.7,103.4,107.03,199.1,286.99,109.01,7.26,843.7
42,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,20.13,10.34,7.7,81.62,102.19,201.52,291.5,116.16,5.5,831.16
